Paket_id,Vikt,Förtjänst,Deadline,Volym
2241323368,7.6,2,-4,6.0
2241323370,5.9,6,8,2.8
2241323374,6.3,4,-1,6.7
2241323379,11.2,1,-5,12.6
2241323383,11.2,3,3,2.7
2241323386,11.8,1,-5,15.0
2241323389,10.1,2,-2,14.0
2241323392,5.4,8,5,15.2
2241323395,10.7,6,-4,10.6
2241323401,9.9,3,-5,13.0
2241323407,0.6,6,7,3.9
2241323409,1.3,5,6,3.5
2241323413,11.5,5,-4,10.8
2241323415,7.9,9,7,18.8
2241323419,10.7,7,6,5.6
2241323421,6.7,1,-2,6.1
2241323424,10.1,2,-1,5.9
2241323430,5.5,1,-5,10.4
2241323432,8.4,1,3,11.2
2241323434,1.9,5,4,17.0
2241323439,7.4,2,9,8.7
2241323441,6.9,4,-1,6.3
2241323446,11.8,3,-5,8.0
2241323450,4.7,4,7,12.8
2241323454,0.3,3,4,3.8
2241323456,0.9,6,2,4.4
2241323459,0.8,7,4,16.2
2241323464,10.3,5,6,8.6
2241323466,6.1,7,8,7.9
2241323470,1.0,4,4,0.6
2241323473,6.8,4,8,3.4
2241323474,7.7,6,7,4.9
2241323478,11.7,3,6,18.1
2241323482,4.5,9,0,9.0
2241323488,1.4,9,1,5.3
2241323494,1.6,2,7,11.8
2241323497,10.6,7,2,15.8
2241323499,10.7,3,-1,12.1
2241323503,7.9,1,1,15.5
2241323505,3.7,6,7,9.8
2241323506,9.4,5,-5,11.6
2241323508,7.1,6,5,0.3
2241323511,10.0,3,-3,11.7
2241323512,6.7,6,1,6.3
2241323518,10.9,3,9,14.7
2241323522,5.3,5,0,3.1
2241323523,1.5,4,8,7.0
2241323527,1.9,7,9,16.2
2241323533,6.2,1,9,12.0
2241323536,5.5,8,-1,5.3
2241323541,1.5,1,3,13.7
2241323542,9.5,4,9,19.4
2241323548,1.4,4,3,2.7
2241323554,9.4,9,0,9.3
2241323557,10.3,7,9,2.9
2241323558,7.6,9,7,13.7
2241323563,7.2,2,0,5.2
2241323567,7.4,6,5,0.5
2241323572,1.3,6,4,18.3
2241323576,10.9,8,-4,10.6
2241323580,8.2,9,-3,6.8
2241323585,5.0,5,-3,7.7
2241323588,6.9,2,7,1.2
2241323593,8.4,9,-2,12.0
2241323598,4.4,6,1,18.2
2241323599,7.3,4,-5,8.4
2241323602,3.2,7,1,12.8
2241323604,10.9,9,4,13.0
2241323608,10.8,8,9,2.9
2241323613,3.3,6,6,17.2
2241323615,3.7,5,6,17.0
2241323620,7.3,1,9,9.9
2241323623,7.4,3,-3,12.6
2241323624,10.9,3,-3,9.7
2241323626,4.3,3,-4,8.8
2241323630,9.5,4,9,6.0
2241323633,6.8,2,-4,13.5
2241323639,9.6,6,2,16.0
2241323642,2.2,4,5,14.5
2241323648,5.1,2,3,8.7
2241323654,10.7,3,9,12.4
2241323659,6.4,8,6,7.6
2241323662,8.2,4,5,19.2
2241323663,10.0,4,2,11.1
2241323664,11.8,6,-1,11.6
2241323668,10.9,2,0,8.8
2241323673,9.1,4,-4,12.3
2241323679,6.8,6,4,14.2
2241323685,10.7,1,8,1.6
2241323691,3.9,4,3,1.5
2241323693,4.6,9,0,10.3
2241323694,6.0,9,8,7.8
2241323695,5.3,1,7,17.3
2241323700,4.4,1,4,8.5
2241323702,9.7,2,4,7.6
2241323705,10.0,8,-5,5.9
2241323708,10.1,3,-5,8.8
2241323712,8.4,6,9,18.6
2241323715,4.5,9,2,3.0
2241323720,5.0,3,1,16.2
2241323722,10.1,2,2,1.0
2241323728,0.4,6,3,19.9
2241323733,8.7,4,-2,11.0
2241323737,4.2,4,5,13.9
2241323742,8.3,4,5,6.4
2241323746,9.0,8,-1,14.2
2241323751,2.3,8,7,11.4
2241323753,6.2,4,6,10.7
2241323754,7.6,5,3,19.2
2241323759,4.1,1,4,5.3
2241323763,2.6,4,8,17.7
2241323767,4.8,5,-2,12.7
2241323771,10.2,1,7,14.8
2241323777,6.1,3,0,8.2
2241323781,10.7,8,7,11.0
2241323782,6.0,9,1,8.7
2241323783,7.1,1,3,13.4
2241323787,2.0,3,1,7.4
2241323788,10.3,8,-3,7.2
2241323789,10.8,8,-5,11.1
2241323791,5.1,9,2,9.4
2241323792,8.5,8,6,3.7
2241323798,6.5,6,4,8.5
2241323801,5.6,9,8,9.6
2241323804,8.1,1,3,11.0
2241323807,9.8,9,1,0.5
2241323808,3.7,6,6,7.7
2241323810,0.5,6,7,19.5
2241323811,2.7,9,4,13.4
2241323816,11.3,2,8,14.0
2241323820,11.4,6,-1,11.1
2241323825,6.9,4,0,8.3
2241323827,7.2,5,-4,10.8
2241323831,4.5,1,-3,6.2
2241323837,8.5,4,-1,10.5
2241323838,9.0,7,4,2.8
2241323840,1.6,4,4,5.1
2241323845,1.6,5,5,16.8
2241323846,11.6,6,0,0.4
2241323848,11.5,7,3,3.4
2241323850,7.6,5,-5,7.2
2241323853,11.0,3,-2,11.4
2241323857,5.3,7,8,2.8
2241323860,7.5,3,2,14.4
2241323861,5.6,2,3,13.6
2241323866,4.6,7,7,1.7
2241323870,3.0,4,6,6.2
2241323876,2.4,7,5,6.3
2241323878,11.8,8,-5,14.6
2241323882,11.5,5,-4,6.1
2241323885,8.5,3,4,10.5
2241323887,0.3,6,7,10.7
2241323890,5.1,6,0,6.0
2241323893,10.0,2,-5,7.5
2241323897,9.7,1,4,14.2
2241323901,3.1,5,3,9.5
2241323905,1.1,5,0,4.4
2241323910,4.1,4,3,4.6
2241323916,2.8,3,8,6.6
2241323917,9.4,5,9,3.7
2241323922,8.0,1,9,5.7
2241323926,8.8,2,3,10.2
2241323931,10.1,8,0,11.3
2241323932,0.4,4,8,17.3
2241323937,4.4,2,7,11.0
2241323939,2.0,4,1,5.1
2241323942,2.5,6,5,8.0
2241323947,2.8,3,7,13.2
2241323951,1.3,4,9,8.1
2241323953,3.4,8,2,19.2
2241323956,9.2,6,7,2.2
2241323960,9.2,8,-4,8.3
2241323965,2.0,4,8,5.5
2241323969,1.4,2,7,19.4
2241323973,3.0,1,4,9.1
2241323978,9.6,9,3,2.4
2241323981,10.3,7,0,6.3
2241323985,2.7,8,5,8.7
2241323988,10.7,2,-1,12.3
2241323989,7.8,7,0,13.9
2241323995,11.6,8,-1,13.9
2241323997,4.6,6,0,1.5
2241323999,6.4,8,6,14.8
2241324000,5.9,1,0,15.2
2241324006,2.1,6,9,9.9
2241324009,6.3,6,5,16.3
2241324013,2.4,4,3,14.6
2241324014,5.2,3,-3,8.8
2241324019,10.1,2,6,0.5
2241324020,9.6,9,-4,11.1
2241324022,11.1,4,2,12.6
2241324024,7.7,9,3,5.1
2241324029,10.0,6,8,8.9
2241324030,9.6,7,-5,12.0
2241324034,8.2,4,6,5.2
2241324038,0.6,4,0,6.5
2241324043,6.9,6,5,10.6
2241324046,5.8,1,-4,12.9
2241324051,0.3,7,2,13.6
2241324055,11.0,4,4,5.6
2241324057,7.7,5,-2,6.9
2241324063,3.4,1,0,19.5
2241324064,2.0,3,7,1.6
2241324065,8.9,3,-3,13.1
2241324069,9.8,7,-5,10.9
2241324074,8.6,3,7,1.4
2241324075,2.4,5,2,15.9
2241324080,7.9,5,6,16.9
2241324085,5.1,3,3,13.3
2241324086,5.2,1,9,3.4
2241324092,5.1,8,3,5.4
2241324094,3.7,8,5,19.1
2241324096,4.7,8,7,18.6
2241324102,11.6,3,-4,13.5
2241324108,0.1,5,2,5.0
2241324111,2.0,7,3,5.5
2241324114,7.4,3,6,9.9
2241324117,0.3,5,7,8.4
2241324121,10.6,4,1,7.2
2241324125,10.1,2,1,10.4
2241324127,4.6,5,-5,13.8
2241324133,5.7,6,9,11.7
2241324137,11.4,3,7,1.0
2241324141,3.7,2,0,18.2
2241324144,9.0,3,8,6.4
2241324149,11.6,9,5,14.7
2241324152,1.0,3,9,1.6
2241324157,1.1,5,0,13.6
2241324158,2.2,6,3,8.4
2241324159,10.1,4,-2,14.9
2241324163,9.2,5,1,18.5
2241324167,7.6,8,6,6.5
2241324170,4.5,6,8,0.9
2241324172,9.2,7,7,2.0
2241324178,5.6,3,4,10.5
2241324183,4.4,7,-1,7.1
2241324188,2.1,8,7,7.2
2241324192,10.3,6,-4,12.7
2241324193,9.8,1,7,2.8
2241324194,4.5,9,0,16.6
2241324197,4.9,5,0,18.0
2241324201,8.4,1,-5,10.9
2241324203,7.4,1,9,11.9
2241324207,1.8,2,4,7.5
2241324210,5.4,5,0,13.8
2241324213,1.5,8,8,9.8
2241324219,2.0,6,3,8.5
2241324221,7.0,2,-5,14.3
2241324225,6.5,1,-5,11.0
2241324227,11.0,1,5,13.3
2241324231,7.2,9,3,10.0
2241324235,6.3,9,-5,5.1
2241324240,1.3,7,3,19.4
2241324245,10.6,5,-4,13.1
2241324248,7.7,4,4,19.9
2241324250,7.9,3,2,16.3
2241324251,8.4,1,5,13.8
2241324254,1.5,5,7,6.5
2241324255,1.4,5,7,4.3
2241324258,2.9,3,7,18.5
2241324263,9.2,2,-3,7.0
2241324264,8.0,1,3,3.2
2241324266,0.8,4,3,15.1
2241324269,1.4,3,3,6.6
2241324275,2.9,8,3,8.1
2241324277,9.4,9,-5,9.8
2241324278,0.9,9,2,10.4
2241324280,5.2,1,5,17.5
2241324283,3.5,2,4,18.0
2241324284,5.8,1,-5,13.9
2241324289,4.6,8,4,0.7
2241324291,4.5,2,1,3.3
2241324295,9.4,8,6,16.6
2241324301,10.1,6,8,5.2
2241324306,8.7,1,7,14.4
2241324308,1.0,9,8,16.7
2241324312,8.7,3,-2,11.5
2241324313,4.1,2,4,17.4
2241324318,8.3,2,-2,10.5
2241324320,4.2,4,9,13.8
2241324325,7.9,5,1,8.1
2241324328,7.3,6,9,9.6
2241324330,7.4,6,1,6.8
2241324332,10.7,2,5,0.1
2241324338,9.1,7,9,13.7
2241324341,9.7,1,2,0.5
2241324342,6.5,9,0,6.7
2241324348,7.9,7,8,0.3
2241324352,6.8,3,-1,6.8
2241324354,10.4,7,4,9.1
2241324360,9.0,8,-2,11.0
2241324362,11.6,8,0,10.6
2241324367,5.2,7,-3,5.9
2241324370,6.7,3,0,14.7
2241324373,2.6,3,8,6.4
2241324374,11.4,6,0,15.0
2241324375,10.3,1,-4,11.4
2241324378,6.1,9,6,15.4
2241324382,3.2,7,1,3.5
2241324385,4.5,3,-2,12.6
2241324390,11.3,5,-4,9.9
2241324393,0.8,1,9,11.9
2241324395,4.3,5,-5,6.2
2241324399,7.4,7,-2,11.3
2241324402,4.9,1,-5,9.4
2241324406,6.5,6,5,0.2
2241324411,3.7,7,2,3.4
2241324413,4.6,4,4,9.9
2241324415,4.7,3,7,4.5
2241324421,5.3,8,0,10.8
2241324426,6.4,6,6,4.2
2241324431,0.9,8,3,6.7
2241324437,8.6,5,-5,11.2
2241324439,0.2,6,2,0.2
2241324443,3.7,7,9,7.1
2241324445,2.3,4,6,11.4
2241324450,1.2,6,9,9.2
2241324452,0.3,4,5,2.4
2241324456,2.3,5,6,9.7
2241324458,5.8,2,5,9.8
2241324463,0.7,5,4,7.9
2241324467,3.8,2,4,3.4
2241324468,6.4,3,9,11.2
2241324471,0.4,1,4,5.3
2241324473,6.1,7,7,18.5
2241324474,2.9,2,0,6.8
2241324479,0.3,1,9,7.7
2241324484,6.7,4,2,2.1
2241324490,10.6,9,2,1.8
2241324494,3.5,6,7,11.0
2241324500,5.0,3,1,0.9
2241324501,7.1,7,9,4.7
2241324504,10.6,9,-2,6.6
2241324505,7.6,3,3,1.7
2241324510,11.8,4,3,8.0
2241324512,10.3,2,3,13.6
2241324514,4.2,9,-3,11.8
2241324517,10.6,1,-5,5.6
2241324519,0.1,7,4,5.2
2241324524,2.9,2,6,18.7
2241324527,10.2,4,2,16.0
2241324529,5.8,7,1,18.0
2241324530,4.9,7,-3,6.7
2241324531,9.0,4,9,3.5
2241324534,7.5,7,8,13.1
2241324535,7.5,2,6,12.0
2241324538,6.8,1,-4,10.4
2241324542,8.5,8,-4,5.1
2241324544,4.6,9,9,16.3
2241324546,8.0,5,3,5.1
2241324548,1.6,7,9,1.1
2241324552,8.8,7,9,15.6
2241324553,4.2,1,-5,5.0
2241324554,7.3,4,-1,14.1
2241324557,9.6,2,-2,12.8
2241324558,6.8,9,8,9.9
2241324562,4.8,9,3,10.9
2241324564,4.4,1,2,11.6
2241324568,2.1,7,6,12.2
2241324569,8.5,6,0,17.9
2241324571,9.8,3,-3,14.0
2241324575,9.0,8,-5,13.5
2241324581,6.7,7,3,9.7
2241324586,5.1,4,4,18.3
2241324589,11.0,2,8,1.4
2241324594,5.4,5,7,3.7
2241324600,4.9,1,4,13.6
2241324603,2.8,1,4,14.1
2241324604,9.1,2,3,17.5
2241324606,4.8,5,2,5.2
2241324608,6.7,3,8,11.0
2241324611,4.2,9,4,12.9
2241324616,10.5,7,4,18.3
2241324622,1.7,2,9,1.7
2241324628,9.4,5,5,14.3
2241324634,5.9,4,-2,5.3
2241324637,9.1,9,0,7.8
2241324640,11.8,1,-5,7.6
2241324645,2.0,1,6,12.8
2241324646,1.4,4,6,12.3
2241324651,0.7,9,1,0.4
2241324652,11.4,6,2,5.4
2241324653,11.9,3,0,9.0
2241324657,8.7,9,6,18.1
2241324663,1.4,8,1,16.4
2241324668,1.5,9,2,6.0
2241324672,7.6,2,-1,10.3
2241324676,5.7,3,3,1.9
2241324679,8.0,3,-1,6.8
2241324685,10.9,8,-2,6.9
2241324688,7.5,4,-1,8.7
2241324690,10.0,4,-1,12.0
2241324691,4.3,7,2,15.5
2241324697,3.5,5,5,14.4
2241324699,8.8,4,0,4.0
2241324700,9.4,3,-4,14.1
2241324704,6.1,1,2,16.9
2241324705,5.9,5,-3,11.0
2241324708,10.6,1,-2,9.3
2241324709,0.4,6,0,16.9
2241324713,4.8,1,3,3.0
2241324718,7.4,7,-4,14.0
2241324722,3.4,4,2,4.6
2241324725,0.6,5,0,9.0
2241324728,3.5,5,2,0.4
2241324731,10.0,1,6,16.3
2241324736,1.6,3,1,9.9
2241324741,10.2,8,-3,13.2
2241324742,4.0,6,0,9.4
2241324743,7.7,5,-4,9.7
2241324745,11.4,9,6,7.7
2241324749,3.3,2,8,19.3
2241324751,3.8,6,4,12.0
2241324755,3.2,4,0,11.5
2241324757,3.2,8,1,16.4
2241324762,6.6,7,8,12.2
2241324763,5.6,5,-2,14.1
2241324767,10.7,8,-4,8.2
2241324771,10.4,2,-2,12.8
2241324773,7.1,4,-4,5.3
2241324774,7.8,1,-5,9.1
2241324777,9.8,5,-3,13.9
2241324783,10.2,1,5,7.2
2241324787,4.5,4,1,10.7
2241324792,2.6,7,6,19.0
2241324794,0.9,7,7,4.4
2241324796,0.8,7,6,4.0
2241324801,8.7,2,-5,10.7
2241324805,11.2,9,9,1.6
2241324810,11.1,4,-4,10.6
2241324812,0.4,7,7,7.6
2241324817,9.4,6,2,14.8
2241324819,9.6,7,-2,10.9
2241324820,7.7,2,-1,11.9
2241324826,1.5,4,5,1.5
2241324830,1.0,9,8,17.0
2241324836,8.4,8,3,0.9
2241324841,9.3,3,7,1.1
2241324846,3.7,3,2,11.3
2241324849,6.7,4,1,1.6
2241324850,5.3,4,-2,8.1
2241324851,2.6,4,7,18.0
2241324857,4.4,8,2,4.0
2241324861,10.0,7,9,3.6
2241324866,0.9,1,5,13.6
2241324870,10.7,1,-1,8.9
2241324875,9.3,9,4,14.3
2241324877,8.0,7,1,4.2
2241324878,1.3,6,7,5.9
2241324879,0.4,7,9,11.7
2241324881,8.9,2,1,7.3
2241324886,4.6,7,-2,9.7
2241324892,11.1,4,-4,14.1
2241324896,8.0,3,2,2.9
2241324897,11.5,2,0,17.6
2241324901,7.2,5,8,11.2
2241324902,8.9,2,4,4.4
2241324904,6.2,9,-4,7.7
2241324910,9.0,5,7,17.3
2241324913,2.7,5,2,1.0
2241324916,7.2,2,-3,9.3
2241324917,9.7,5,4,13.6
2241324919,11.7,5,1,0.7
2241324923,3.9,2,0,16.3
2241324929,5.4,9,2,9.8
2241324935,6.1,2,2,8.9
2241324940,8.9,1,0,19.7
2241324943,7.8,6,7,15.9
2241324944,1.1,1,7,17.5
2241324945,9.4,9,1,0.1
2241324950,1.4,5,2,3.2
2241324954,7.8,9,-1,8.6
2241324960,10.9,6,6,5.0
2241324965,10.4,1,-1,8.1
2241324969,8.4,8,4,8.9
2241324972,11.7,6,9,2.5
2241324973,11.0,8,-4,14.9
2241324977,8.2,8,0,17.5
2241324981,1.1,4,1,8.1
2241324986,11.8,3,1,3.0
2241324992,6.0,2,-4,13.5
2241324998,11.7,4,1,7.6
2241325001,8.4,6,7,17.8
2241325004,3.0,7,9,12.6
2241325006,6.6,5,-5,11.7
2241325008,8.5,1,7,4.3
2241325012,6.6,7,7,3.5
2241325018,11.4,6,4,1.3
2241325022,8.7,2,1,9.5
2241325024,5.5,5,7,19.7
2241325030,0.8,2,7,15.2
2241325035,5.3,4,-5,7.2
2241325037,1.6,3,7,13.1
2241325043,1.6,9,1,12.8
2241325046,8.1,7,-2,5.4
2241325052,5.1,7,6,4.0
2241325057,7.9,6,8,8.5
2241325058,10.8,8,8,3.8
2241325063,1.3,7,0,7.5
2241325068,0.8,2,8,12.5
2241325074,5.7,2,-1,5.9
2241325078,3.8,2,6,7.3
2241325083,4.0,4,6,8.4
2241325085,4.8,1,-4,14.0
2241325091,4.4,2,5,16.5
2241325096,0.5,7,8,2.7
2241325100,10.7,7,2,14.2
2241325102,6.1,3,1,11.1
2241325106,10.9,2,5,1.2
2241325112,2.2,3,8,5.2
2241325116,4.8,9,0,1.2
2241325117,2.8,7,6,17.2
2241325118,6.8,4,8,19.8
2241325124,9.3,4,5,11.9
2241325127,12.0,1,-4,9.7
2241325129,6.8,4,1,5.2
2241325132,0.5,5,0,1.1
2241325134,12.0,5,6,4.5
2241325136,1.4,5,0,7.1
2241325137,8.2,7,-5,9.7
2241325138,0.9,2,0,2.5
2241325140,6.7,6,-1,8.2
2241325146,3.4,3,7,4.1
2241325147,4.9,1,-3,8.2
2241325149,6.6,5,7,19.2
2241325152,2.9,3,0,2.2
2241325155,8.0,8,1,13.2
2241325157,8.7,2,1,8.5
2241325158,5.2,3,7,11.2
2241325162,2.7,5,9,18.2
2241325164,1.8,6,9,0.1
2241325168,1.9,2,1,2.1
2241325173,11.2,7,4,2.6
2241325176,4.8,8,2,4.8
2241325177,9.1,4,9,1.6
2241325178,4.8,7,1,17.4
2241325182,0.9,4,7,7.0
2241325187,11.7,4,1,5.3
2241325188,10.9,8,5,17.9
2241325191,10.0,9,6,1.7
2241325196,7.6,3,5,0.6
2241325197,0.5,4,9,9.3
2241325198,1.6,3,5,1.7
2241325202,2.7,4,8,13.5
2241325208,7.7,3,6,15.8
2241325213,0.6,5,9,0.6
2241325217,5.3,4,-2,13.2
2241325219,9.6,6,9,15.7
2241325221,10.4,1,5,19.5
2241325225,7.0,1,3,0.6
2241325229,4.6,8,9,15.7
2241325235,5.3,4,-2,6.2
2241325241,4.3,8,4,8.6
2241325244,9.3,3,5,12.0
2241325245,7.7,1,7,13.1
2241325246,2.4,6,7,18.0
2241325252,7.1,1,1,17.4
2241325256,2.3,9,8,15.1
2241325261,8.8,6,6,2.9
2241325266,5.4,7,6,17.0
2241325268,1.0,5,9,13.4
2241325273,5.6,9,0,14.6
2241325276,3.3,6,7,7.0
2241325277,9.6,7,-4,11.9
2241325281,9.4,8,3,14.5
2241325282,11.1,1,4,7.4
2241325288,6.7,7,-2,11.8
2241325291,7.0,3,-5,11.8
2241325292,11.5,2,9,2.8
2241325294,6.9,4,9,15.0
2241325299,7.0,8,-5,5.8
2241325305,8.1,3,6,15.4
2241325307,6.3,8,1,10.1
2241325308,6.5,4,7,19.8
2241325309,1.4,4,0,3.5
2241325311,9.2,3,0,14.3
2241325312,2.3,9,6,10.6
2241325313,2.0,8,0,12.4
2241325317,5.6,7,-5,8.0
2241325318,11.2,7,5,3.3
2241325319,11.7,1,9,2.1
2241325325,9.8,2,6,14.0
2241325328,4.8,9,-4,12.3
2241325333,1.2,6,0,6.2
2241325339,4.7,6,-4,6.8
2241325345,8.5,5,5,12.0
2241325351,11.7,5,9,14.3
2241325354,2.0,3,2,3.3
2241325357,9.3,5,-4,8.5
2241325362,11.1,7,8,18.9
2241325367,7.5,6,6,0.6
2241325371,7.6,1,5,18.5
2241325377,8.1,7,-4,8.7
2241325383,11.5,9,9,12.0
2241325387,10.9,7,-2,11.7
2241325393,11.0,9,-4,11.9
2241325398,9.2,1,9,5.8
2241325401,1.2,3,7,8.9
2241325407,8.7,7,5,10.5
2241325408,4.6,3,3,13.0
2241325410,8.0,5,2,6.6
2241325415,1.9,4,6,10.2
2241325421,7.9,1,4,3.1
2241325425,9.8,4,9,15.6
2241325430,1.1,1,3,6.8
2241325432,11.1,6,8,4.0
2241325435,10.7,7,1,14.7
2241325440,8.8,2,4,5.7
2241325441,0.6,2,6,19.5
2241325447,7.6,6,7,10.5
2241325452,0.1,4,7,15.5
2241325454,7.7,1,2,12.7
2241325459,8.9,4,8,9.3
2241325462,8.3,8,5,11.1
2241325463,2.3,5,0,2.5
2241325469,6.2,4,-1,13.3
2241325473,0.1,1,7,15.2
2241325477,3.3,9,6,9.0
2241325480,3.3,1,3,13.7
2241325483,0.5,7,0,13.9
2241325486,6.3,2,4,3.2
2241325488,8.5,5,-1,12.6
2241325489,4.0,5,5,5.7
2241325492,9.7,3,5,2.5
2241325497,2.1,1,9,16.2
2241325500,11.8,1,0,6.8
2241325504,8.0,7,9,4.8
2241325505,0.3,7,8,2.5
2241325507,5.6,4,3,4.5
2241325512,4.4,5,2,15.0
2241325514,3.5,4,7,18.3
2241325518,4.8,2,-3,7.2
2241325524,0.8,3,4,13.0
2241325526,10.6,5,2,6.0
2241325527,9.1,8,-2,8.0
2241325532,7.4,3,-4,6.8
2241325533,0.7,4,4,15.8
2241325536,0.6,5,0,6.2
2241325539,11.8,1,-4,7.6
2241325543,10.4,8,4,13.1
2241325547,11.4,6,6,11.8
2241325551,10.8,6,2,8.5
2241325552,6.8,9,3,4.9
2241325556,6.3,2,0,1.6
2241325559,5.6,8,8,11.2
2241325565,5.9,1,8,11.8
2241325569,11.6,3,-5,6.0
2241325571,11.7,9,6,10.6
2241325577,6.4,7,-5,10.1
2241325582,4.8,8,1,2.6
2241325586,1.4,8,9,6.2
2241325592,1.3,6,9,16.9
2241325593,4.2,2,0,14.9
2241325596,11.4,6,0,16.9
2241325600,6.2,6,9,15.5
2241325603,7.7,4,-1,9.8
2241325608,2.3,5,7,4.2
2241325613,2.5,1,1,9.9
2241325616,10.9,2,-4,11.8
2241325617,9.2,2,7,9.3
2241325623,2.2,3,3,9.1
2241325629,1.6,8,7,10.0
2241325631,10.5,5,7,12.9
2241325632,3.9,1,7,11.4
2241325636,5.8,3,2,3.8
2241325640,5.9,1,6,16.2
2241325646,5.6,6,-4,5.5
2241325650,9.5,1,-2,7.4
2241325655,2.2,4,7,16.6
2241325660,10.1,2,4,5.4
2241325666,7.0,1,4,5.6
2241325672,4.2,8,5,11.0
2241325677,0.3,5,1,3.8
2241325680,6.3,3,-2,8.8
2241325685,9.3,9,-3,5.7
2241325687,10.9,5,-3,11.4
2241325693,5.1,8,-4,10.6
2241325698,4.1,3,-2,14.2
2241325699,3.4,4,9,0.7
2241325700,11.3,3,1,18.3
2241325701,7.8,1,0,5.6
2241325704,7.1,8,6,6.3
2241325709,4.5,7,0,3.1
2241325711,11.3,1,1,7.2
2241325717,6.3,4,0,19.8
2241325720,9.7,3,9,7.8
2241325722,4.4,2,7,8.9
2241325726,10.0,9,-4,6.6
2241325727,8.8,3,2,4.9
2241325730,11.4,2,6,18.4
2241325735,8.4,7,-2,6.1
2241325738,11.3,6,-2,8.1
2241325744,4.1,2,4,3.3
2241325746,5.5,8,7,17.0
2241325751,0.2,6,2,0.4
2241325757,9.2,6,4,7.7
2241325760,5.5,8,0,3.2
2241325763,2.8,9,9,1.0
2241325769,3.0,7,2,18.1
2241325773,7.2,3,-3,10.8
2241325776,11.2,1,-3,6.9
2241325780,10.7,9,4,8.1
2241325786,2.7,8,5,1.4
2241325788,6.3,4,-1,9.1
2241325791,8.6,7,1,11.4
2241325795,9.4,1,6,0.7
2241325799,7.2,8,1,15.0
2241325804,10.7,6,8,7.6
2241325808,9.7,1,-1,8.6
2241325812,2.3,7,8,5.4
2241325813,1.9,9,4,9.0
2241325819,4.2,8,7,13.2
2241325821,9.1,4,8,7.8
2241325822,8.1,3,5,16.2
2241325827,9.3,3,2,15.5
2241325830,2.1,3,9,1.9
2241325832,0.4,9,0,17.5
2241325834,7.2,6,5,4.0
2241325837,5.5,6,-2,10.9
2241325842,0.2,1,8,11.9
2241325848,9.2,6,7,4.3
2241325850,5.3,1,7,10.8
2241325855,9.4,7,4,19.8
2241325861,10.5,2,6,18.3
2241325867,6.3,3,7,4.4
2241325869,4.2,5,5,10.2
2241325874,4.8,7,3,9.3
2241325877,5.6,5,2,10.2
2241325878,8.4,5,-5,11.9
2241325883,2.3,8,3,5.8
2241325885,11.1,4,8,4.0
2241325888,1.6,2,6,15.5
2241325892,2.2,9,2,9.0
2241325895,4.8,2,2,14.3
2241325901,7.5,6,2,15.5
2241325907,2.9,5,9,10.1
2241325909,5.4,3,9,9.1
2241325914,11.2,7,-4,7.6
2241325919,6.3,8,-3,8.5
2241325925,3.1,6,3,8.2
2241325930,1.7,1,7,11.2
